/*********************************************
 * OPL 22.1.1.0 Data
 * Author: frankp
 * Creation Date: May 13, 2023 at 9:51:04 PM
 *********************************************/

timeSlotDuration = 60;
maxSkill = 2;
minSkill = 1;

numDays = 5;
numTimeSlots = 8;

numPatients = 20;

numOperators = 7;
operatorSkill = [1,1,1,1,2,2,2];
operatorWage = [1,1,1,1,1.5,1.5,1.5];
operatorTime = [1800,1800,1800,1200,1800,1800,1200];
operatorAvailability = [
	   [[0, 1, 0, 0, 0, 1, 1, 1],
        [1, 1, 0, 1, 1, 0, 1, 1],
        [0, 1, 1, 1, 1, 1, 1, 0],
        [1, 0, 1, 1, 1, 1, 1, 1],
        [1, 0, 1, 0, 1, 1, 1, 1]],

       [[1, 1, 1, 1, 0, 1, 1, 1],
        [1, 1, 1, 1, 1, 1, 1, 1],
        [1, 0, 0, 1, 1, 0, 1, 1],
        [1, 1, 1, 1, 0, 0, 1, 0],
        [1, 0, 1, 1, 1, 0, 1, 1]],

       [[1, 1, 0, 1, 1, 1, 1, 0],
        [1, 1, 1, 0, 0, 1, 1, 0],
        [0, 1, 1, 0, 1, 1, 1, 1],
        [1, 1, 1, 1, 1, 1, 1, 1],
        [0, 0, 0, 1, 1, 1, 1, 1]],

       [[1, 1, 1, 1, 1, 0, 1, 1],
        [0, 0, 1, 1, 1, 1, 1, 1],
        [1, 1, 1, 1, 1, 1, 1, 1],
        [0, 1, 1, 1, 1, 1, 1, 0],
        [0, 1, 1, 0, 0, 1, 1, 1]],

       [[1, 1, 1, 0, 1, 0, 1, 1],
        [1, 1, 1, 1, 1, 1, 1, 1],
        [1, 1, 0, 1, 1, 1, 1, 1],
        [1, 1, 1, 0, 1, 1, 0, 1],
        [1, 1, 1, 1, 1, 1, 1, 1]],

       [[1, 1, 1, 1, 1, 1, 0, 1],
        [1, 1, 0, 1, 1, 0, 1, 1],
        [0, 0, 1, 1, 1, 1, 0, 1],
        [1, 1, 1, 1, 1, 1, 1, 1],
        [1, 1, 1, 1, 1, 1, 1, 1]],

       [[1, 1, 1, 1, 1, 1, 1, 1],
        [1, 1, 1, 1, 0, 0, 1, 0],
        [1, 1, 1, 0, 1, 1, 1, 1],
        [1, 1, 1, 0, 1, 1, 1, 1],
        [0, 1, 1, 1, 1, 1, 1, 0]]
];

numVisits = 3;
visitSkill = [1,1,2];
visitDuration = [45,20,30];

commutingTime = [
	[0,21,20,5,17,22,42,4,1,30,26,28,33,22,27,26,21,1,10,25,1,19,13,1,18,10,16],
	[21,0,13,30,2,32,26,14,34,13,14,1,5,25,21,17,8,6,30,20,25,34,10,21,25,1,12],
	[20,13,0,9,15,13,15,10,20,14,10,10,30,1,13,1,9,29,35,4,25,8,24,24,15,24,26],
	[5,30,9,0,3,16,18,3,11,2,35,14,10,22,31,25,26,10,23,33,11,19,20,26,21,9,22],
	[17,2,15,3,0,21,23,23,13,18,14,19,27,14,1,19,34,14,6,1,5,42,18,6,3,15,25],
	[22,32,13,16,21,0,20,28,6,17,24,16,10,9,13,26,13,21,8,19,5,29,3,17,4,16,1],
	[42,26,15,18,23,20,0,18,11,12,25,26,14,18,6,25,13,20,28,20,14,9,11,15,15,9,16],
	[4,14,10,3,23,28,18,0,1,14,4,21,17,15,20,15,2,18,14,13,27,11,6,23,17,9,17],
	[1,34,20,11,13,6,11,1,0,15,5,14,11,26,33,22,35,15,33,12,24,9,15,10,2,27,14],
	[30,13,14,2,18,17,12,14,15,0,27,19,7,11,13,8,22,12,29,27,17,7,22,24,28,33,22],
	[26,14,10,35,14,24,25,4,5,27,0,24,11,29,13,10,32,25,29,27,2,25,7,28,18,12,18],
	[28,1,10,14,19,16,26,21,14,19,24,0,19,5,16,13,6,17,27,4,1,12,31,22,10,24,1],
	[33,5,30,10,27,10,14,17,11,7,11,19,0,23,30,13,19,7,10,28,18,19,8,26,33,26,10],
	[22,25,1,22,14,9,18,15,26,11,29,5,23,0,22,18,25,16,1,5,7,15,20,31,9,19,5],
	[27,21,13,31,1,13,6,20,33,13,13,16,30,22,0,1,27,25,23,7,24,1,10,3,26,5,8],
	[26,17,1,25,19,26,25,15,22,8,10,13,13,18,1,0,9,7,12,33,31,22,11,11,15,8,35],
	[21,8,9,26,34,13,13,2,35,22,32,6,19,25,27,9,0,32,6,12,16,20,3,20,14,28,22],
	[1,6,29,10,14,21,20,18,15,12,25,17,7,16,25,7,32,0,10,13,11,1,21,21,34,16,12],
	[10,30,35,23,6,8,28,14,33,29,29,27,10,1,23,12,6,10,0,16,7,10,21,20,17,1,21],
	[25,20,4,33,1,19,20,13,12,27,27,4,28,5,7,33,12,13,16,0,14,19,1,20,26,26,1],
	[1,25,25,11,5,5,14,27,24,17,2,1,18,7,24,31,16,11,7,14,0,17,8,18,3,15,14],
	[19,34,8,19,42,29,9,11,9,7,25,12,19,15,1,22,20,1,10,19,17,0,1,15,26,29,24],
	[13,10,24,20,18,3,11,6,15,22,7,31,8,20,10,11,3,21,21,1,8,1,0,17,29,18,19],
	[1,21,24,26,6,17,15,23,10,24,28,22,26,31,3,11,20,21,20,20,18,15,17,0,27,26,25],
	[18,25,15,21,3,4,15,17,2,28,18,10,33,9,26,15,14,34,17,26,3,26,29,27,0,19,15],
	[10,1,24,9,15,16,9,9,27,33,12,24,26,19,5,8,28,16,1,26,15,29,18,26,19,0,25],
	[16,12,26,22,25,1,16,17,14,22,18,1,10,5,8,35,22,12,21,1,14,24,19,25,15,25,0]	
];

commutingCost = 0.2;

Requests = {
	<1, 1, 2, 1, 5>,
	<2, 1, 2, 2, 8>,
	<3, 2, 1, 1, 3>,
	<4, 2, 2, 2, 8>,
	<5, 2, 1, 3, 3>,
	<6, 2, 1, 5, 3>,
	<7, 3, 1, 2, 6>,
	<8, 3, 2, 3, 5>,
	<9, 3, 2, 5, 6>,
	<10, 4, 2, 2, 6>,
	<11, 4, 3, 4, 5>,
	<12, 4, 1, 5, 6>,
	<13, 6, 2, 2, 5>,
	<14, 7, 1, 3, 3>,
	<15, 8, 1, 2, 6>,
	<16, 9, 3, 2, 8>,
	<17, 9, 1, 3, 8>,
	<18, 9, 2, 4, 5>,
	<19, 10, 2, 2, 1>,
	<20, 10, 1, 5, 8>,
	<21, 11, 1, 2, 1>,
	<22, 11, 1, 3, 7>,
	<23, 11, 1, 4, 5>,
	<24, 11, 1, 5, 5>,
	<25, 12, 1, 2, 3>,
	<26, 12, 1, 3, 4>,
	<27, 12, 1, 4, 4>,
	<28, 12, 1, 5, 5>,
	<29, 13, 2, 1, 6>,
	<30, 13, 1, 2, 6>,
	<31, 13, 2, 3, 7>,
	<32, 13, 3, 4, 5>,
	<33, 13, 1, 5, 4>,
	<34, 14, 1, 4, 4>,
	<35, 14, 1, 5, 8>,
	<36, 15, 1, 3, 3>,
	<37, 15, 1, 4, 3>,
	<38, 16, 2, 3, 8>,
	<39, 16, 1, 5, 7>,
	<40, 17, 2, 1, 5>,
	<41, 17, 1, 4, 5>,
	<42, 17, 2, 5, 3>,
	<43, 18, 1, 2, 3>,
	<44, 18, 2, 5, 1>,
	<45, 19, 1, 1, 1>,
	<46, 19, 1, 2, 4>,
	<47, 20, 1, 1, 3>,
	<48, 20, 2, 2, 2>,
	<49, 20, 2, 4, 7>,
	<50, 20, 1, 5, 6>
};
